Team ID,Team Name,Conference,Image
5,UAB,American Athletic,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png
2636,UTSA,American Athletic,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
48,Delaware,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
2229,FIU,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
55,Jacksonville State,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png
338,Kennesaw State,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
2335,Liberty,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
2393,Middle Tennessee,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
2623,Missouri State,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
166,New Mexico State,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png
2534,Sam Houston,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png
98,Western Kentucky,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png
2006,Akron,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
2050,Ball State,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
189,Bowling Green,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
2084,Buffalo,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
2117,Central Michigan,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
2199,Eastern Michigan,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
2309,Kent State,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
193,Miami (OH),MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png
195,Ohio,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png
16,Sacramento State,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png
2649,Toledo,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
113,UMass,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png
2711,Western Michigan,MAC,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
2005,Air Force,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
62,Hawaii,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2440,Nevada,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
167,New Mexico,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2449,North Dakota State,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png
2459,Northern Illinois,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
23,San Jose State,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png
2439,UNLV,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
2638,UTEP,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
2751,Wyoming,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
2026,Appalachian State,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
2032,Arkansas State,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
324,Coastal Carolina,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png
290,Georgia Southern,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png
2247,Georgia State,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
256,James Madison,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png
309,Louisiana,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png
2348,Louisiana Tech,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
276,Marshall,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png
295,Old Dominion,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png
6,South Alabama,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png
2572,Southern Miss,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
2653,Troy,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
2433,UL Monroe,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
